GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared sv title,shared gs coauthors,shared sv coauthors
clinicalcorrelatesofcomplementaryspatialpatternsin11cdtbz11cmp11cracand11cdasbpetimagesrevealedbymultisetcanonicalcorrelationanalysisin,"Clinical Correlates of Complementary Spatial Patterns in [11] C-DTBZ,[11] C-MP,[11] C-RAC, and [11] C-DASB PET Images Revealed by Multiset Canonical Correlation Analysis in …","['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']",,,,optogeneticstimulationofgabaneuronscandecreaselocalneuronalactivitywhileincreasingcorticalbloodflow,Optogenetic stimulation of GABA neurons can decrease local neuronal activity while increasing cortical blood flow,Optogenetic stimulation of GABA neurons can decrease local neuronal activity while increasing cortical blood flow,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
reestablishmentofcorticalmotoroutputmapsandspontaneousfunctionalrecoveryviaspareddorsolaterallyprojectingcorticospinalneuronsafterdorsalcolumnspinalcord,Re-establishment of cortical motor output maps and spontaneous functional recovery via spared dorsolaterally projecting corticospinal neurons after dorsal column spinal cord …,"['Tim H. Murphy', 'Wolfram Tetzlaff']",,,,petinlrrk2mutationscomparisontosporadicparkinsonsdiseaseandevidenceforpresymptomaticcompensation,PET in LRRK2 mutations: comparison to sporadic Parkinson's disease and evidence for presymptomatic compensation,PET in LRRK2 mutations: Comparison to sporadic Parkinson's disease and evidence for presymptomatic compensation,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
scholarmetricsscrapersmsautomatedretrievalofcitationandauthordata,Scholar Metrics Scraper (SMS): automated retrieval of citation and author data,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,pidoseanopensourcesystemforaccurateandautomatedoraldrugadministrationtogrouphousedmice,PiDose: an open-source system for accurate and automated oral drug administration to group-housed mice,PiDose: an open-source system for accurate and automated oral drug administration to group-housed mice,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
invivolargescalecorticalmappingusingchannelrhodopsin2stimulationintransgenicmicerevealsasymmetricandreciprocalrelationshipsbetween,In vivo Large-Scale Cortical Mapping Using Channelrhodopsin-2 Stimulation in Transgenic Mice Reveals Asymmetric and Reciprocal Relationships between …,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,localselfrenewalcansustaincnsmicrogliamaintenanceandfunctionthroughoutadultlife,Local self-renewal can sustain CNS microglia maintenance and function throughout adult life,Local self-renewal can sustain CNS microglia maintenance and function throughout adult life,"['Wolfram Tetzlaff', 'Fabio Rossi']","['Wolfram Tetzlaff', 'Fabio Rossi']"
differencesineffectiveconnectivitybetweentremorpredominantpdtandakineticrigidpdarvariantsofparkinsonsdiseasepd,Differences in effective connectivity between tremor-predominant (PDT) and akinetic-rigid (PDAR) variants of Parkinson's disease (PD),"['Martin McKeown', 'Z. Jane Wang']",,,,irrationalchoiceunderuncertaintycorrelateswithlowerstriatald23receptorbindinginrats,Irrational choice under uncertainty correlates with lower striatal D2/3 receptor binding in rats,Irrational choice under uncertainty correlates with lower striatal D<inf>2/3</inf> receptor binding in rats,"['Catharine Winstanley', 'Vesna Sossi']","['Catharine Winstanley', 'Vesna Sossi']"
agingeffectontherateofprogressioninparkinsonsdiseaseafouryearlongitudinalpetstudy,Aging effect on the rate of progression in Parkinson's disease: A fouryear longitudinal PET study,"['A Jon Stoessl', 'Vesna Sossi']",,,,competitiveinhibitionofnmdareceptormediatedcurrentsbyextracellularcalciumchelators,Competitive Inhibition of NMDA Receptor–Mediated Currents by Extracellular Calcium Chelators,Competitive inhibition of NMDA receptor-mediated currents by extracellular calcium chelators,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
nucleusaccumbenslongtermdepressionandtheexpressionofbehavioralsensitization,Nucleus accumbens long-term depression and the expression of behavioral sensitization,"['Anthony Phillips', 'Yu Tian Wang']",,,,enhancedstriatalnr2bcontainingnmethyldaspartatereceptormediatedsynapticcurrentsinamousemodelofhuntingtondisease,Enhanced Striatal NR2B-Containing N-Methyl-d-Aspartate Receptor-Mediated Synaptic Currents in a Mouse Model of Huntington Disease,Enhanced striatal NR2B-containing N-methyl-D-aspartate receptor-mediated synaptic currents in a mouse model of Huntington disease,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
aretheregenderrelateddifferencesintheprogressionofparkinsonsdiseasefindingsfromalongitudinalc11dihydrotetrabenazinepetstudy,Are There Gender-Related Differences in the Progression of Parkinson's Disease? Findings from a Longitudinal [C-11](+/-) Dihydrotetrabenazine PET Study,"['A Jon Stoessl', 'Vesna Sossi']",,,,alteredcorticaldynamicsandcognitivefunctionuponhaploinsufficiencyoftheautismlinkedexcitatorysynapticsuppressormdga2,Altered cortical dynamics and cognitive function upon haploinsufficiency of the autism-linked excitatory synaptic suppressor MDGA2,Altered Cortical Dynamics and Cognitive Function upon Haploinsufficiency of the Autism-Linked Excitatory Synaptic Suppressor MDGA2,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Yu Tian Wang', 'Jeffrey LeDue']"
positionemissiontomographicstudiesoffamilyhagreekamericankindredwithautosomaldominantlevodoparesponsiveparkinsonismsecondarytoamutationofalphasynuclein,Position emission tomographic studies of family H: a Greek-American kindred with autosomal dominant levodopa responsive Parkinsonism secondary to a mutation of alpha-synuclein,"['A Jon Stoessl', 'Vesna Sossi']",,,,datadrivenvoxelbasedanalysisofbrainpetimagesapplicationofpcaandlassomethodstovisualizeandquantifypatternsofneurodegeneration,"Data-driven, voxel-based analysis of brain PET images: Application of PCA and LASSO methods to visualize and quantify patterns of neurodegeneration","Data-driven, voxel-based analysis of brain PET images: Application of PCA and LASSO methods to visualize and quantify patterns of neurodegeneration","['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
theapplicationofpetimagingtolrrk2rodentmodelsofpd,The application of PET imaging to LRRK2 rodent models of PD,"['A Jon Stoessl', 'Vesna Sossi']",,,,effectsofexpectationonplaceboinduceddopaminereleaseinparkinsondisease,Effects of expectation on placebo-induced dopamine release in Parkinson disease,Effects of expectation on placebo-induced dopamine release in Parkinson disease,"['A Jon Stoessl', 'Anthony Phillips', 'Vesna Sossi']","['A Jon Stoessl', 'Anthony Phillips', 'Vesna Sossi']"
irrationalchoiceunderriskcorrelateswithlowerstriatald23receptorbindinginrats,Irrational Choice Under Risk Correlates with Lower Striatal D2/3 Receptor Binding in Rats,"['Catharine Winstanley', 'Vesna Sossi']",,,,electroconvulsiveshockbutnottranscranialmagneticstimulationtransientlyelevatescellproliferationintheadultmousehippocampus,"Electroconvulsive shock, but not transcranial magnetic stimulation, transiently elevates cell proliferation in the adult mouse Hippocampus","Electroconvulsive shock, but not transcranial magnetic stimulation, transiently elevates cell proliferation in the adult mouse hippocampus","['Fidel Vila-Rodriguez', 'Jason Snyder']","['Fidel Vila-Rodriguez', 'Jason Snyder']"
mesoscalecorticalcalciumimagingrevealswidespreadsynchronizedinfraslowactivityduringsocialtouchinmice,Mesoscale cortical calcium imaging reveals widespread synchronized infraslow activity during social touch in mice,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,asymptoticanalysisofthehuberizedlassoestimator,Asymptotic analysis of the Huberized LASSO estimator,Asymptotic analysis of the Huberized LASSO estimator,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
priorexposuretosalientwinpairedcuesinaratgamblingtaskincreasessensitivitytococaineselfadministrationandsuppressesdopamineeffluxinnucleusaccumbens,Prior exposure to salient win-paired cues in a rat gambling task increases sensitivity to cocaine self-administration and suppresses dopamine efflux in nucleus accumbens …,"['Anthony Phillips', 'Catharine Winstanley']",,,,nmdaglun2aandglun2breceptorsplayseparaterolesintheinductionofltpandltdintheamygdalaandintheacquisitionandextinctionofconditionedfear,NMDA GluN2A and GluN2B receptors play separate roles in the induction of LTP and LTD in the amygdala and in the acquisition and extinction of conditioned fear,NMDA GluN2A and GluN2B receptors play separate roles in the induction of LTP and LTD in the amygdala and in the acquisition and extinction of conditioned fear,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony Phillips', 'Yu Tian Wang']"
improvedmethodsforlongitudinalmotormappingafterstrokeinmiceautomatedmovementtrackingwithaccelerometersandchroniceegrecordinginabilateralcranialwindow,"Improved Methods for Longitudinal Motor Mapping After Stroke in Mice: Automated Movement Tracking with Accelerometers, and Chronic EEG Recording in a Bilateral Cranial Window …","['Tim H. Murphy', 'Jeffrey LeDue']",,,,dynamicbayesiannetworksdbnsdemonstrateimpairedbrainconnectivityduringperformanceofsimultaneousmovementsinparkinsonsdisease,Dynamic Bayesian networks (DBNS) demonstrate impaired brain connectivity during performance of simultaneous movements in Parkinson's disease,Dynamic Bayesian Networks (DBNS) demonstrate impaired brain connectivity during performance of simultaneous movements in Parkinson's disease,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,measuringdopaminergicfunctioninthe6ohdalesionedratacomparisonofpetandmicrodialysis,Measuring dopaminergic function in the 6-OHDA-lesioned rat: a comparison of PET and microdialysis,Measuring dopaminergic function in the 6-OHDA-lesioned rat: A comparison of PET and microdialysis,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,selectiverolesforhippocampalprefrontalcorticalandventralstriatalcircuitsinradialarmmazetaskswithorwithoutadelay,"Selective roles for hippocampal, prefrontal cortical, and ventral striatal circuits in radial-arm maze tasks with or without a delay","Selective roles for hippocampal, prefrontal cortical, and ventral striatal circuits in radial-arm maze tasks with or without a delay","['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
,,,,,,differentialeffectsoflidocaineinfusionsintotheventralca1subiculumorthenucleusaccumbensontheacquisitionandretentionofspatialinformation,Differential effects of lidocaine infusions into the ventral CA1/subiculum or the nucleus accumbens on the acquisition and retention of spatial information,Differential effects of lidocaine infusions into the ventral CA1/subiculum or the nucleus accumbens on the acquisition and retention of spatial information,"['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
,,,,,,liquidxenondetectorsforpositronemissiontomography,Liquid xenon detectors for positron emission tomography,Liquid xenon detectors for positron emission tomography,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,insightsintolrrk2mutationrelatedpdfrompetimagingstudies,Insights into LRRK2-Mutation Related PD from PET Imaging Studies,Insights into LRRK2-Mutation Related PD from PET Imaging Studies,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,connectivitybasedparcellationofputamenusingrestingstatefmridata,Connectivity-based parcellation of putamen using resting state fMRI data,Connectivity-based parcellation of putamen using resting state fMRI data,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,cerebrospinalfluidamyloidβandtauinlrrk2mutationcarriers,Cerebrospinal fluid amyloid β and tau in LRRK2 mutation carriers,Cerebrospinal fluid amyloid β and tau in LRRK2 mutation carriers,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,processingefficiencyofaverbalworkingmemorysystemismodulatedbyamphetamineanfmriinvestigation,Processing efficiency of a verbal working memory system is modulated by amphetamine: an fMRI investigation,Processing efficiency of a verbal working memory system is modulated by amphetamine: An fMRI investigation,"['Anthony Phillips', 'Todd Woodward']","['Anthony Phillips', 'Todd Woodward']"
,,,,,,habitualexercisersversussedentarysubjectswithparkinsonsdiseasemultimodalpetandfmristudy,Habitual exercisers versus sedentary subjects with Parkinson's Disease: Multimodal PET and fMRI study,Habitual exercisers versus sedentary subjects with Parkinson's Disease: Multimodal PET and fMRI study,"['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']","['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']"
,,,,,,adoubleblindcontrolledtrialofbilateralfetalnigraltransplantationinparkinsonsdisease,A double‐blind controlled trial of bilateral fetal nigral transplantation in Parkinson's disease,A double-blind controlled trial of bilateral fetal nigral transplantation in Parkinson's disease,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,pannexin1openinginneuronaledemacausescelldeathbutalsoleadstoprotectionviaincreasedmicrogliacontacts,Pannexin-1 opening in neuronal edema causes cell death but also leads to protection via increased microglia contacts,Pannexin-1 opening in neuronal edema causes cell death but also leads to protection via increased microglia contacts,"['Brian MacVicar', 'Terry Snutch', 'Jeffrey LeDue']","['Brian MacVicar', 'Terry Snutch', 'Jeffrey LeDue']"
,,,,,,differentialpatternsofbasalandnaloxoneevokeddopamineeffluxintheratdorsalandventralstriatumfollowingprolongedintermittentexposuretomorphine,Differential patterns of basal and naloxone‐evoked dopamine efflux in the rat dorsal and ventral striatum following prolonged‐intermittent exposure to morphine,Differential patterns of basal and naloxone-evoked dopamine efflux in the rat dorsal and ventral striatum following prolonged-intermittent exposure to morphine,"['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
,,,,,,livinontheedgeimagingdendriticspineturnoverintheperiinfarctzoneduringischemicstrokeandrecovery,Livin'on the edge: imaging dendritic spine turnover in the peri-infarct zone during ischemic stroke and recovery,Livin' on the edge: Imaging dendritic spine turnover in the peri-infarct zone during ischemic stroke and recovery,"['Tim H. Murphy', 'Craig E. Brown']","['Tim H. Murphy', 'Craig E. Brown']"
,,,,,,gammafrequencyactivationofinhibitoryneuronsintheacutephaseafterstrokeattenuatesvascularandbehavioraldysfunction,Gamma frequency activation of inhibitory neurons in the acute phase after stroke attenuates vascular and behavioral dysfunction,Gamma frequency activation of inhibitory neurons in the acute phase after stroke attenuates vascular and behavioral dysfunction,"['Tim H. Murphy', 'Brian MacVicar', 'Jeffrey LeDue']","['Tim H. Murphy', 'Brian MacVicar', 'Jeffrey LeDue']"
,,,,,,twophotonimagingofglutathionelevelsinintactbrainindicatesenhancedredoxbufferingindevelopingneuronsandcellsatthecerebrospinalfluidandbloodbraininterface,Two-photon imaging of glutathione levels in intact brain indicates enhanced redox buffering in developing neurons and cells at the cerebrospinal fluid and blood-brain interface,Two-photon imaging of glutathione levels in intact brain indicates enhanced redox buffering in developing neurons and cells at the cerebrospinal fluid and blood-brain interface,"['Tim H. Murphy', 'Andy Shih']","['Tim H. Murphy', 'Andy Shih']"
,,,,,,sitewithinnmethyldaspartatereceptorporemodulateschannelgating,Site within N-methyl-D-aspartate receptor pore modulates channel gating,Site within N-Methyl-D-aspartate Receptor Pore Modulates Channel Gating,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
,,,,,,earlyincreaseinextrasynapticnmdareceptorsignalingandexpressioncontributestophenotypeonsetinhuntingtonsdiseasemice,Early increase in extrasynaptic NMDA receptor signaling and expression contributes to phenotype onset in Huntington's disease mice,Early Increase in Extrasynaptic NMDA Receptor Signaling and Expression Contributes to Phenotype Onset in Huntington's Disease Mice,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
,,,,,,petstudiesofparkinsonismassociatedwithmutationintheαsynucleingene,PET studies of parkinsonism associated with mutation in the α-synuclein gene,Pet studies of parkinsonism associated with mutation in the α-synuclein gene,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,featureselectiontosimplifybdiforefficientdepressionidentification,Feature selection to simplify BDI for efficient depression identification,Feature selection to simplify BDI for efficient depression identification,"['Martin McKeown', 'Z. Jane Wang', 'Silke Cresswell']","['Martin McKeown', 'Z. Jane Wang', 'Silke Cresswell']"
,,,,,,amontecarloapproachforimprovingtransientdopaminereleasedetectionsensitivity,A Monte Carlo approach for improving transient dopamine release detection sensitivity,A Monte Carlo approach for improving transient dopamine release detection sensitivity,"['Catharine Winstanley', 'Vesna Sossi']","['Catharine Winstanley', 'Vesna Sossi']"
,,,,,,essentialroleofsbp1activationinoxygendeprivationinducedlipidaccumulationandincreaseinbodywidthlengthratioincaenorhabditiselegans,Essential role of SBP-1 activation in oxygen deprivation induced lipid accumulation and increase in body width/length ratio in Caenorhabditis elegans,Essential role of SBP-1 activation in oxygen deprivation induced lipid accumulation and increase in body width/length ratio in Caenorhabditis elegans,"['Yu Tian Wang', 'Catharine Rankin']","['Yu Tian Wang', 'Catharine Rankin']"
,,,,,,aglobalcttousregistrationofthelumbarspine,A global CT to US registration of the lumbar spine,A global CT to US registration of the lumbar spine,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
,,,,,,athreestepmultimodalanalysisframeworkformodelingcorticomuscularactivitywithapplicationtoparkinsonsdisease,A three-step multimodal analysis framework for modeling corticomuscular activity with application to Parkinson’s disease,A three-step multimodal analysis framework for modeling corticomuscular activity with application to parkinson's disease,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,panx1ininflammationheatsupnewmechanisticinsightswithimplicationsforinjuryandinfection,PANX1 in inflammation heats up: New mechanistic insights with implications for injury and infection,PANX1 in inflammation heats up: New mechanistic insights with implications for injury and infection,"['Brian MacVicar', 'Leigh Anne Swayne']","['Brian MacVicar', 'Leigh Anne Swayne']"
,,,,,,thenatureofprogressioninparkinsonsdiseaseanapplicationofnonlinearmultivariatelongitudinalrandomeffectsmodelling,"The nature of progression in Parkinson’s disease: an application of non-linear, multivariate, longitudinal random effects modelling","The Nature of Progression in Parkinson's Disease: An Application of Non-Linear, Multivariate, Longitudinal Random Effects Modelling","['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,endocannabinoidspecificimpairmentinsynapticplasticityinstriatumofhuntingtonsdiseasemousemodel,Endocannabinoid-specific impairment in synaptic plasticity in striatum of Huntington's disease mouse model,Endocannabinoid-specific impairment in synaptic plasticity in striatum of huntington’s disease mouse model,"['Lynn Raymond', 'Jeffrey LeDue']","['Lynn Raymond', 'Jeffrey LeDue']"
,,,,,,thecellularmechanismsofneuronalswellingunderlyingcytotoxicedema,The cellular mechanisms of neuronal swelling underlying cytotoxic edema,The cellular mechanisms of neuronal swelling underlying cytotoxic edema,"['Brian MacVicar', 'Terry Snutch']","['Brian MacVicar', 'Terry Snutch']"
,,,,,,aquantitativeanalysisofcontextdependentremappingofmedialfrontalcortexneuronsandensembles,A quantitative analysis of context-dependent remapping of medial frontal cortex neurons and ensembles,A quantitative analysis of context-dependent remapping of medial frontal cortex neurons and ensembles,"['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
,,,,,,compensatorymotornetworkconnectivityisassociatedwithmotorsequencelearningaftersubcorticalstroke,Compensatory motor network connectivity is associated with motor sequence learning after subcortical stroke,Compensatory motor network connectivity is associated with motor sequence learning after subcortical stroke,"['Lara Boyd', 'Todd Woodward']","['Lara Boyd', 'Todd Woodward']"
,,,,,,cystineglutamateexchangemodulatesglutathionesupplyforneuroprotectionfromoxidativestressandcellproliferation,Cystine/glutamate exchange modulates glutathione supply for neuroprotection from oxidative stress and cell proliferation,Cystine/glutamate exchange modulates glutathione supply for neuroprotection from oxidative stress and cell proliferation,"['Tim H. Murphy', 'Andy Shih']","['Tim H. Murphy', 'Andy Shih']"
,,,,,,sexdifferencesinpredictorsandregionalpatternsofbrainagegapestimates,Sex differences in predictors and regional patterns of brain age gap estimates,Sex differences in predictors and regional patterns of brain age gap estimates,"['Liisa Galea', 'Sophia Frangou']","['Liisa Galea', 'Sophia Frangou']"
,,,,,,cav32drivessustainedburstfiringwhichiscriticalforabsenceseizurepropagationinreticularthalamicneurons,"CaV3.2 drives sustained burst‐firing, which is critical for absence seizure propagation in reticular thalamic neurons","Ca<inf>V</inf>3.2 drives sustained burst-firing, which is critical for absence seizure propagation in reticular thalamic neurons","['Brian MacVicar', 'Terry Snutch', 'Jeffrey LeDue']","['Brian MacVicar', 'Terry Snutch', 'Jeffrey LeDue']"
,,,,,,bilateralhumanfetalstriataltransplantationinhuntingtonsdisease,Bilateral human fetal striatal transplantation in Huntington’s disease,Bilateral human fetal striatal transplantation in Huntington's disease,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,mappingcorticalmesoscopicnetworksofsinglespikingcorticalorsubcorticalneurons,Mapping cortical mesoscopic networks of single spiking cortical or sub-cortical neurons,Mapping cortical mesoscopic networks of single spiking cortical or sub-cortical neurons,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
,,,,,,quantifyingtheinternaldeformationoftherodentspinalcordduringacutespinalcordinjurythevalidationofamethod,Quantifying the internal deformation of the rodent spinal cord during acute spinal cord injury–the validation of a method,Quantifying the internal deformation of the rodent spinal cord during acute spinal cord injury – the validation of a method,"['Peter Cripton', 'Wolfram Tetzlaff']","['Peter Cripton', 'Wolfram Tetzlaff']"
,,,,,,effectofelectroconvulsivetherapyonbrain5ht2receptorsinmajordepression,Effect of electroconvulsive therapy on brain 5-HT2 receptors in major depression,Effect of electroconvulsive therapy on brain 5-HT<inf>2</inf> receptors in major depression,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,dopamineactivatesnrf2regulatedneuroprotectivepathwaysinastrocytesandmeningealcells,Dopamine activates Nrf2‐regulated neuroprotective pathways in astrocytes and meningeal cells,Dopamine activates Nrf2-regulated neuroprotective pathways in astrocytes and meningeal cells,"['Tim H. Murphy', 'Andy Shih']","['Tim H. Murphy', 'Andy Shih']"
,,,,,,ageneticallyinformedgroupfmriconnectivitymodelingapproachapplicationtoschizophrenia,"A genetically informed, group FMRI connectivity modeling approach: application to schizophrenia","A genetically informed, group fMRI connectivity modeling approach: Application to schizophrenia","['Martin McKeown', 'Silke Cresswell']","['Martin McKeown', 'Z. Jane Wang', 'Silke Cresswell']"
,,,,,,dnajc12anddoparesponsivenonprogressiveparkinsonism,DNAJC12 and dopa‐responsive nonprogressive parkinsonism,DNAJC12 and dopa-responsive nonprogressive parkinsonism,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,serotoninanddopaminetransporterpetchangesinthepremotorphaseoflrrk2parkinsonismcrosssectionalstudies,Serotonin and dopamine transporter PET changes in the premotor phase of LRRK2 parkinsonism: cross-sectional studies,Serotonin and dopamine transporter PET changes in the premotor phase of LRRK2 parkinsonism: cross-sectional studies,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,serotonergicsystemimpactslevodoparesponseinearlyparkinsonsandfutureriskofdyskinesia,Serotonergic system impacts levodopa response in early Parkinson's and future risk of dyskinesia,Serotonergic System Impacts Levodopa Response in Early Parkinson's and Future Risk of Dyskinesia,"['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']"
,,,,,,corticalmorphologypredictsplaceboresponseinmultiplesclerosis,Cortical morphology predicts placebo response in multiple sclerosis,Cortical morphology predicts placebo response in multiple sclerosis,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,behavioraldeficitsandstriataldasignalinginlrrk2pg2019stransgenicratsamultimodalinvestigationincludingpetneuroimaging,Behavioral deficits and striatal DA signaling in LRRK2 p. G2019S transgenic rats: a multimodal investigation including PET neuroimaging,Behavioral deficits and striatal DA signaling in LRRK2 p.G2019S transgenic rats: a multimodal investigation including PET neuroimaging,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,preventionoflpsinducedmicrogliaactivationcytokineproductionandsicknessbehaviorwithtlr4receptorinterferingpeptides,"Prevention of LPS-induced microglia activation, cytokine production and sickness behavior with TLR4 receptor interfering peptides","Prevention of LPS-Induced Microglia Activation, Cytokine Production and Sickness Behavior with TLR4 Receptor Interfering Peptides","['Brian MacVicar', 'Anthony Phillips']","['Brian MacVicar', 'Anthony Phillips']"
,,,,,,dnajc13mutationsinparkinsondisease,DNAJC13 mutations in Parkinson disease,DNAJC13 mutations in Parkinson disease,"['A Jon Stoessl', 'Silke Cresswell']","['A Jon Stoessl', 'Silke Cresswell']"
,,,,,,invivomeasurementofldopauptakedopaminereserveandturnoverintheratbrainusing18ffdopapet,"In-vivo Measurement of LDOPA Uptake, Dopamine Reserve and Turnover in the Rat Brain Using [18F]FDOPA PET","In-vivo measurement of LDOPA uptake, dopamine reserve and turnover in the rat brain using [<sup>18</sup>F]FDOPA PET","['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,alteredcorticalprocessingofsensoryinputinhuntingtondiseasemousemodels,Altered cortical processing of sensory input in Huntington disease mouse models,Altered cortical processing of sensory input in Huntington disease mouse models,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
,,,,,,chronicmultiscaleresolutionofmousebrainnetworksusingcombinedmesoscalecorticalimagingandsubcorticalfiberphotometry,Chronic multiscale resolution of mouse brain networks using combined mesoscale cortical imaging and subcortical fiber photometry,Chronic multiscale resolution of mouse brain networks using combined mesoscale cortical imaging and subcortical fiber photometry,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
,,,,,,adultspinalcordradialgliadisplayauniqueprogenitorphenotype,Adult spinal cord radial glia display a unique progenitor phenotype,Adult spinal cord radial glia display a unique progenitor phenotype,"['Wolfram Tetzlaff', 'Jane Roskams']","['Wolfram Tetzlaff', 'Jane Roskams']"
,,,,,,progranulinpromotesactivationofmicrogliamacrophageafterpilocarpineinducedstatusepilepticus,Progranulin promotes activation of microglia/macrophage after pilocarpine-induced status epilepticus,Progranulin promotes activation of microglia/macrophage after pilocarpine-induced status epilepticus,"['Brian MacVicar', 'Yu Tian Wang']","['Brian MacVicar', 'Yu Tian Wang']"
,,,,,,interventionalimagingultrasound,Interventional imaging: Ultrasound,Interventional imaging: Ultrasound,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
,,,,,,peripheralnerveligationelicitswidespreadalterationsincorticalsensoryevokedandspontaneousactivity,Peripheral nerve ligation elicits widespread alterations in cortical sensory evoked and spontaneous activity,Peripheral Nerve Ligation Elicits Widespread Alterations in Cortical Sensory Evoked and Spontaneous Activity,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
,,,,,,invitedarticlefunctionalimaginginparkinsondisease,Invited article: functional imaging in Parkinson disease,Invited Article: Functional imaging in Parkinson disease,"['Martin McKeown', 'A Jon Stoessl']","['Martin McKeown', 'A Jon Stoessl']"
,,,,,,selectivememoryimpairmentsproducedbytransientlidocaineinducedlesionsofthenucleusaccumbensinrats,Selective memory impairments produced by transient lidocaine-induced lesions of the nucleus accumbens in rats.,Selective memory impairments produced by transient lidocaine-induced lesions of the nucleus accumbens in rats,"['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
